method,Activity,Excl,Incl,Start,End,Energy
onCreateOptionsMenu,MainActivity,2e-05,0.015347,23:28:13.052,23:28:13.091,0.017581523199999997
NotifyWroteGIF,MainActivity,3.8e-05,0.022449,23:28:13.091,23:28:13.149,0.0257175744
ClearAll,MainActivity,2.8e-05,0.002082,23:28:13.149,23:28:13.154,0.0023851392
onOptionsItemSelected,MainActivity,3.1e-05,0.003596,23:28:13.154,23:28:13.163,0.0041195775999999995
onCreate,ViewActivity,0.000667,1.093756,23:28:31.795,23:28:33.873,1.2080358854817943
onCreateOptionsMenu,ViewActivity,3.7e-05,0.014639,23:28:33.873,23:28:33.911,0.016770438399999997
onSaveInstanceState,MainActivity,1.3e-05,0.005469,23:28:13.163,23:28:13.177,0.006265286399999999
onCreate,FilesActivity,0.002101,0.208423,23:28:35.192,23:28:35.733,0.23876938879999998
getListFiles,FilesActivity,5.8e-05,0.004816,23:28:35.733,23:28:35.745,0.0055172096
onSaveInstanceState,ViewActivity,0.000154,0.007078,23:28:33.911,23:28:33.929,0.0081085568
onDestroy,ViewActivity,0.000149,0.014203,23:28:33.929,23:28:33.965,0.0162709568
onCreate,ViewActivity,0.000667,1.093756,23:28:33.965,23:28:36.043,0.668519339773721
onOptionsItemSelected,ViewActivity,4.9e-05,0.024545,23:28:36.043,23:28:36.106,0.028118752
onDestroy,ViewActivity,0.000149,0.014203,23:28:36.106,23:28:36.142,0.0162709568
